URL,Type,GSC Status,Current Status,Proposed Action,Reason
"/บริการ/รับซื้อของสะสม","Non-core Service","Discovered - currently not indexed","200 OK (noindex)","Keep noindex, remove from sitemap","Exclude non-core/thin traffic topics from main index"
"/บริการ/รับซื้อทีวี","Non-core Service","Discovered - currently not indexed","200 OK (noindex)","Keep noindex, remove from sitemap","Exclude non-core/thin traffic topics from main index"
"/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","Non-core Service","Crawled - currently not indexed","200 OK (noindex)","Keep noindex, remove from sitemap","Exclude non-core/thin traffic topics from main index"
"/บริการ/รับซื้อเฟอร์นิเจอร์","Non-core Service","Discovered - currently not indexed","200 OK (noindex)","Keep noindex, remove from sitemap","Exclude non-core/thin traffic topics from main index"
"/บริการ/รับซื้อโดรน","Non-core Service","Discovered - currently not indexed","200 OK (noindex)","Keep noindex, remove from sitemap","Exclude non-core/thin traffic topics from main index"
"/รับซื้อ/รับซื้อ-storage-nas-บึงกาฬ","Product x Province (Legacy)","Crawled - currently not indexed","301 (Vercel Redirect)","Keep Redirect to /บริการ/รับซื้อ-nas","Resolved via sitemap exclusion and Vercel redirect rules"
"/รับซื้อ/รับซื้อ-hdd-มุกดาหาร","Product x Province (Legacy)","Discovered - currently not indexed","301 (Vercel Redirect)","Keep Redirect to /รับซื้อ/รับซื้อ-ssd-มุกดาหาร","Resolved via sitemap exclusion and Vercel redirect rules"
"/รับซื้อ/รับซื้อเลนส์-สุรินทร์","Product x Province (Legacy)","Discovered - currently not indexed","301 (Vercel Redirect)","Keep Redirect to /บริการ/รับซื้อ-เลนส์กล้อง","Resolved via sitemap exclusion and Vercel redirect rules"
"/พื้นที่ให้บริการ/รับซื้อ-ipad-อุบลราชธานี","Local Service Area","Crawled - currently not indexed","200 OK (Indexable)","Improve Internal Linking","Important local landing page. Add to homepage rescue links."
"/พื้นที่ให้บริการ/รับซื้อ-iphone-อุบลราชธานี","Local Service Area","Discovered - currently not indexed","200 OK (Indexable)","Improve Internal Linking","Important local landing page. Add to homepage rescue links."
"/พื้นที่ให้บริการ/รับซื้อ-macbook-อุบลราชธานี","Local Service Area","Discovered - currently not indexed","200 OK (Indexable)","Improve Internal Linking","Important local landing page. Add to homepage rescue links."
"/พื้นที่ให้บริการ/รับซื้อคอมบริษัท-อุบลราชธานี","Local Service Area","Discovered - currently not indexed","200 OK (Indexable)","Improve Internal Linking","Important local landing page. Add to homepage rescue links."
"/พื้นที่ให้บริการ/รับซื้อคอมพิวเตอร์-อุบลราชธานี","Local Service Area","Discovered - currently not indexed","200 OK (Indexable)","Improve Internal Linking","Important local landing page. Add to homepage rescue links."
"/พื้นที่ให้บริการ/รับซื้อกล้อง-อุบลราชธานี","Local Service Area","Discovered - currently not indexed","200 OK (Indexable)","Improve Internal Linking","Important local landing page. Add to homepage rescue links."
